index,year,brand,superbowl_ads_dot_com_url,youtube_url,Genre,funny,show_product_quickly,patriotic,celebrity,danger,animals,use_sex,likes,dislikes,ratio,theme,theme_2,altruistic/consumerist
41,2018,Pepsi,https://superbowl-ads.com/2018_pepsi_this_is_the_pepsi/,https://www.youtube.com/watch?v=0gHYd67OumQ,Soft Drink,no,yes,yes,yes,no,no,no,3400,203,0.94,nostalgia,together,consumerist
42,2018,NFL,https://superbowl-ads.com/touchdown-celebrations-to-come-nfl-super-bowl-lii-commercial/,https://www.youtube.com/watch?v=KUoD-gPDahw,Football,yes,yes,no,yes,no,no,no,,,,nostalgia,together,consumerist
43,2010,E-Trade,https://superbowl-ads.com/hd-exclusive-e-trade-baby-tears-2010-superbowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=LgiYL1Ry2I8,Trading,yes,yes,no,no,no,no,no,23,0,1,,,consumerist
44,2017,NFL,https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-inside-lines/,https://www.youtube.com/watch?v=pvKBdrx4quA,Football,no,yes,yes,yes,no,no,no,2200,328,0.87,nostalgia,together,consumerist
45,2000,E-Trade,https://superbowl-ads.com/2000-etrade-money-out-of-the-wazoo/,https://www.youtube.com/watch?v=oftjwYmlfoA,Trading,yes,yes,no,no,yes,no,no,176,7,0.96,,,consumerist
46,2007,E-Trade,https://superbowl-ads.com/2007-etrade-one-finger/,https://www.youtube.com/watch?v=jaR5-kefxn4,Trading,yes,no,yes,no,no,no,no,101,23,0.81,,,consumerist
47,2000,Budweiser,https://superbowl-ads.com/2000-budweiser-whaasup-game/,https://www.youtube.com/watch?v=loimTUjV92Q,Beer,yes,yes,no,no,no,no,no,12,2,0.86,together,,consumerist
48,2013,Doritos,https://superbowl-ads.com/video-doritos-2013-super-bowl-xlvii-commercial-goat-for-sale/,https://www.youtube.com/watch?v=DoM6IhfY8No,Chips,yes,yes,no,no,no,yes,no,3200,117,0.96,,,consumerist
49,2013,Budweiser,https://superbowl-ads.com/video-budweiser-black-crown-2013-super-bowl-xlvii-ad-coronation/,https://www.youtube.com/watch?v=AMP9fgyi41M,Beer,no,yes,no,no,no,no,yes,5,3,0.63,together,,consumerist
50,2007,Doritos,https://superbowl-ads.com/2007-doritos-live-the-favor/,https://www.youtube.com/watch?v=kNxgxF-7SfA,Chips,yes,yes,no,no,yes,no,yes,2500,862,0.74,,,consumerist
51,2009,Budweiser,https://superbowl-ads.com/2009-budweiser-clydesdale-plays-fetch/,https://www.youtube.com/watch?v=w_ZEGUX4YnI,Beer,yes,yes,yes,no,no,yes,no,72,3,0.96,,,consumerist
52,2012,E-Trade,https://superbowl-ads.com/2012-etrade-fatherhood/,https://www.youtube.com/watch?v=fObt1E6Ij_E,Trading,yes,no,no,no,no,no,no,1,0,1,,,consumerist
53,2019,Bud Light,https://superbowl-ads.com/2019-bud-light-medieval-barbers/,https://www.youtube.com/watch?v=hkSQ2Vr41bM,Beer,yes,yes,no,no,no,no,no,71,119,0.37,,,consumerist
54,2017,Kia,https://superbowl-ads.com/2017-kia-super-bowl-51-li-tv-commercial-heros-journey-starring-melissa-mccarthy/,https://www.youtube.com/watch?v=pVxmT2x3Od4,Automotive,yes,no,no,yes,yes,yes,no,,,,inspirational,,altruistic
55,2007,Bud Light,https://superbowl-ads.com/2007-bud-light-but-he-has-bud-light/,https://www.youtube.com/watch?v=qIC90Vnc-OI,Beer,yes,yes,no,no,yes,no,no,460,14,0.97,together,,consumerist
56,2011,Bud Light,https://superbowl-ads.com/2011-bud-light-dog-sitter/,https://www.youtube.com/watch?v=JJn1vM7LB1Y,Beer,yes,yes,no,no,no,yes,no,3,2,0.6,together,,consumerist
57,2016,Pepsi,https://superbowl-ads.com/pepsi-2016-super-bowl-50-ad-joy-pepsi/,https://www.youtube.com/watch?v=B9j4Cw5dkBs,Soft Drink,no,no,no,yes,no,no,no,,,,nostalgia,,consumerist
58,2009,Hynudai,https://superbowl-ads.com/2009-hyundai-angry-bosses/,https://www.youtube.com/watch?v=puG0WOgAUfs,Automotive,yes,yes,no,no,no,no,no,588,9,0.98,informative,,consumerist
59,2011,Coca-Cola,https://superbowl-ads.com/2011-coca-cola-siege/,https://www.youtube.com/watch?v=nAJvHsVoLq0,Soft Drink,yes,no,no,no,yes,yes,no,65,3,0.96,,,consumerist
